TIME,JCMB WINDSPEED,JCMB WINDDIRECTION,KESTREL WINDSPEED,KESTREL WINDDIRECTION,ANEMOMETER 986 #TURNS,ANEMOMETER 986 LAT,ANEMOMETER 986 LON,ANEMOMETER 1280 #TURNS,ANEMOMETER 1280 LAT,ANEMOMETER 1280 LON
14:40:00,6.5,232,7,227,,,,,,
14:41:00,6,225,6.1,230,,,,,,
14:42:00,7.8,238,4.6,234,170.5,25438,70637,,,
14:43:00,7.7,218,4.9,232,,,,,,
14:44:00,5.4,190,6.2,230,,,,,,
14:45:00,4.8,227,5.4,230,153,25417,70660,166,25436,70637
14:46:00,4,237,5.7,231,,,,,,
14:47:00,3,209,7.1,233,,,,,,
14:48:00,2.3,243,8.3,234,,,,,,
14:49:00,3.8,250,8.8,228,,,,,,
14:50:00,3.9,246,7.6,238,,,,154,25413,70626
14:51:00,4,228,6.8,232,131.5,25448,70661,,,
14:52:00,4.1,211,7,235,,,,192,25390,70603
14:53:00,5.9,239,5.9,237,,,,,,
14:54:00,6.6,233,4.9,237,167,25449,70679,,,
14:55:00,4.1,226,6.1,228,,,,58,25417,70595
14:56:00,3.4,248,6.8,230,,,,,,
14:57:00,5.6,259,6.7,230,,,,151,25473,70564
14:58:00,4.6,230,6.1,232,,,,,,
14:59:00,3.8,234,6.6,231,139,25484,70673,104,25489,70527
15:00:00,5.4,265,7.4,233,,,,,,
15:01:00,6.9,220,7.4,235,,,,130,25485,70497
15:02:00,4.3,269,6.6,230,,,,,,
15:03:00,7,251,5.5,234,125,25521,70673,,,
15:04:00,6.4,256,4.8,230,,,,87,25511,70557
15:05:00,6.3,236,6.6,224,,,,,,
15:06:00,3.2,251,5.7,227,143,25558,70672,,,
15:07:00,3.7,241,5.4,229,,,,143,25544,70579
15:08:00,5.5,248,5.6,231,,,,,,
15:09:00,3.8,246,5.5,235,103,25590,70670,110,25540,70615
15:10:00,4.5,239,6.4,232,,,,,,
15:11:00,6.4,252,6.5,230,,,,,,
15:12:00,6.4,236,6,229,,,,126,25494,70616
15:13:00,6.2,249,6.8,233,107.5,25629,70666,,,
15:14:00,5.4,212,6.9,231,,,,114,25458,70606
15:15:00,7.1,248,5.4,231,,,,,,
15:16:00,3.9,216,5.6,234,89,25660,70655,,,
15:17:00,2.9,247,6.5,229,,,,,,
15:18:00,3.7,216,6,228,,,,,,
15:19:00,6.3,250,6.9,225,82,25696,70659,105,25579,70597
15:20:00,6.6,226,7.1,230,,,,,,
15:21:00,4,222,6.1,230,,,,110,25609,70566
15:22:00,3.6,240,6.2,229,46,25691,70705,,,
15:23:00,7.4,248,5.5,228,,,,,,
15:24:00,4.2,235,4.5,231,,,,100,25640,70582
15:25:00,3.1,232,4.9,229,71,25727,70681,,,
15:26:00,6.1,232,4.9,229,,,,128,25671,70558
15:27:00,5.3,220,6.7,233,,,,,,
15:28:00,4.8,233,6.4,231,83,25772,70678,,,
15:29:00,5.9,216,5.8,229,,,,107,25651,70522
15:30:00,6,245,5.9,231,,,,,,
15:31:00,4.5,249,6.3,229,34,25742,70633,,,
15:32:00,3,230,7.4,235,,,,94,25578,70536
15:33:00,4.5,228,5.6,230,37,25743,70595,,,
15:34:00,4.6,238,5.3,228,,,,,,
15:35:00,3.9,226,5.1,231,,,,,,
15:36:00,3.5,243,5,230,,,,,,
15:37:00,4.1,215,6,230,125.5,25675,70619,,,
15:38:00,3.4,225,6.6,229,,,,143,25620,70472
15:39:00,4.6,228,5,233,,,,,,
15:40:00,4.5,225,6.2,234,116,25601,70638,,,
15:41:00,6.2,228,6,227,,,,,,
15:42:00,3.3,229,6.9,231,,,,,,
15:43:00,3.1,218,5.6,230,132.5,25539,70638,101,25691,70535
15:44:00,5,242,5.4,230,,,,,,
15:45:00,4.8,233,5.9,229,,,,,,
15:46:00,6.4,234,7.1,231,97.5,25496,70632,58,25704,70483
15:47:00,5.3,222,6.1,229,,,,,,
15:48:00,4.3,215,6.6,225,,,,,,
15:49:00,3.6,222,6.2,231,,,,,,
15:50:00,3.5,219,7.2,229,112,25459,70624,,,
15:49:00,3.6,222,6.2,231,,,,,,
15:50:00,3.5,219,7.2,229,,,,,,
